Data;Valor pago;Tipo de dividendos;Data de pagamento;Qauntidade de Ações;tick
27/04/2020;0,0872;DIVIDENDO;- ;1;AALR3
25/04/2019;0,0845;DIVIDENDO;07/05/2019 ;1;AALR3
30/06/2023;0,8360;JRS CAP PROPRIO;16/08/2023 ;1;ABCB4
29/12/2022;0,3700;JRS CAP PROPRIO;13/01/2023 ;1;ABCB4
30/09/2022;0,3620;JRS CAP PROPRIO;13/10/2022 ;1;ABCB4
30/06/2022;0,3520;JRS CAP PROPRIO;13/07/2022 ;1;ABCB4
31/03/2022;0,3130;JRS CAP PROPRIO;13/04/2022 ;1;ABCB4
30/12/2021;0,2520;JRS CAP PROPRIO;13/01/2022 ;1;ABCB4
06/10/2021;0,2320;JRS CAP PROPRIO;20/10/2021 ;1;ABCB4
30/06/2021;0,2190;JRS CAP PROPRIO;12/07/2021 ;1;ABCB4
31/03/2021;0,2130;JRS CAP PROPRIO;12/04/2021 ;1;ABCB4
06/01/2021;0,3382;JRS CAP PROPRIO;18/02/2021 ;1;ABCB4
12/08/2020;0,1587;JRS CAP PROPRIO;23/09/2020 ;1;ABCB4
30/12/2019;0,4910;JRS CAP PROPRIO;14/01/2020 ;1;ABCB4
04/07/2019;0,5590;JRS CAP PROPRIO;17/07/2019 ;1;ABCB4
28/12/2018;0,5390;JRS CAP PROPRIO;12/02/2019 ;1;ABCB4
29/06/2018;0,5400;JRS CAP PROPRIO;10/08/2018 ;1;ABCB4
28/12/2017;0,5320;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2017;0,5540;JRS CAP PROPRIO;- ;1;ABCB4
29/12/2016;0,5390;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2016;0,5480;JRS CAP PROPRIO;- ;1;ABCB4
30/12/2015;0,4630;JUROS;- ;1;ABCB4
30/06/2015;0,4020;JUROS;- ;1;ABCB4
30/12/2014;0,3330;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2014;0,3260;JRS CAP PROPRIO;- ;1;ABCB4
30/12/2013;0,3030;JRS CAP PRÓPRIO;- ;1;ABCB4
28/06/2013;0,2966;JRS CAP PRÓPRIO;- ;1;ABCB4
02/01/2013;0,3080;JRS CAP PRÓPRIO;- ;1;ABCB4
02/07/2012;0,3300;JRS CAP PRÓPRIO;- ;1;ABCB4
29/12/2011;0,1600;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2011;0,1500;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2011;0,1500;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2011;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2010;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2010;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2010;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2010;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2009;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2008;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2008;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2008;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2008;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
20/12/2007;0,3200;JRS CAP PRÓPRIO;- ;1;ABCB4
19/12/2022;0,7623;JRS CAP PROPRIO;29/12/2022 ;1;ABEV3
17/12/2021;0,4702;JRS CAP PROPRIO;30/12/2021 ;1;ABEV3
17/12/2021;0,1334;DIVIDENDO;30/12/2021 ;1;ABEV3
13/01/2021;0,0767;DIVIDENDO;28/01/2021 ;1;ABEV3
17/12/2020;0,4137;JRS CAP PROPRIO;30/12/2020 ;1;ABEV3
19/12/2019;0,4906;JRS CAP PROPRIO;30/12/2019 ;1;ABEV3
18/12/2018;0,3200;JRS CAP PROPRIO;28/12/2018 ;1;ABEV3
15/06/2018;0,1600;DIVIDENDO;30/07/2018 ;1;ABEV3
31/01/2018;0,0700;DIVIDENDO;22/02/2018 ;1;ABEV3
18/12/2017;0,3100;JRS CAP PROPRIO;- ;1;ABEV3
23/06/2017;0,1600;DIVIDENDO;- ;1;ABEV3
23/01/2017;0,0700;DIVIDENDO;- ;1;ABEV3
21/12/2016;0,2200;JRS CAP PROPRIO;- ;1;ABEV3
31/10/2016;0,1600;DIVIDENDO;- ;1;ABEV3
11/07/2016;0,1300;DIVIDENDO;- ;1;ABEV3
29/01/2016;0,1300;JUROS;- ;1;ABEV3
21/12/2015;0,1500;JUROS;- ;1;ABEV3
08/09/2015;0,1500;DIVIDENDO;- ;1;ABEV3
01/06/2015;0,1000;Juros;- ;1;ABEV3
27/02/2015;0,0600;Juros;- ;1;ABEV3
27/02/2015;0,0300;Juros;- ;1;ABEV3
07/01/2015;0,0960;JRS CAP PROPRIO;- ;1;ABEV3
30/12/2014;0,1300;JRS CAP PROPRIO;- ;1;ABEV3
27/10/2014;0,2200;DIVIDENDO;- ;1;ABEV3
28/07/2014;0,1000;JRS CAP PROPRIO;- ;1;ABEV3
28/07/2014;0,0600;DIVIDENDO;- ;1;ABEV3
02/04/2014;0,0700;DIVIDENDO;- ;1;ABEV3
02/04/2014;0,0600;DIVIDENDO;- ;1;ABEV3
14/01/2014;0,1540;JRS CAP PRÓPRIO;- ;1;ABEV3
14/01/2014;0,1000;DIVIDENDO;- ;1;ABEV3
25/03/2022;0,0207;DIVIDENDO;13/04/2022 ;1;AERI3
09/08/2022;0,1075;DIVIDENDO;30/09/2022 ;1;AESB3
09/08/2021;0,0605;DIVIDENDO;22/09/2021 ;1;AESB3
10/05/2021;0,1704;DIVIDENDO;28/05/2021 ;1;AESB3
20/04/2023;0,3316;DIVIDENDO;31/12/2023 ;1;AFLT3
20/04/2023;0,1486;DIVIDENDO;04/05/2023 ;1;AFLT3
20/04/2023;0,1141;DIVIDENDO;04/05/2023 ;1;AFLT3
18/04/2022;0,2362;DIVIDENDO;20/12/2022 ;1;AFLT3
03/12/2021;0,1904;DIVIDENDO;21/12/2021 ;1;AFLT3
07/04/2021;0,3170;DIVIDENDO;- ;1;AFLT3
07/04/2021;0,1226;DIVIDENDO;- ;1;AFLT3
23/09/2020;0,1740;DIVIDENDO;22/10/2020 ;1;AFLT3
29/07/2020;0,2947;DIVIDENDO;- ;1;AFLT3
29/07/2020;0,2541;DIVIDENDO;- ;1;AFLT3
12/12/2019;0,1057;DIVIDENDO;23/12/2019 ;1;AFLT3
23/10/2018;0,1044;DIVIDENDO;12/11/2018 ;1;AFLT3
27/03/2018;0,0761;DIVIDENDO;09/05/2018 ;1;AFLT3
20/09/2017;0,1223;DIVIDENDO;- ;1;AFLT3
12/04/2017;0,4756;REST CAP DIN;- ;1;AFLT3
12/04/2017;0,0963;DIVIDENDO;- ;1;AFLT3
06/09/2016;0,1189;DIVIDENDO;- ;1;AFLT3
28/04/2016;0,1902;DIVIDENDO;- ;1;AFLT3
28/04/2015;0,1247;DIVIDENDO;- ;1;AFLT3
18/09/2014;0,1009;DIVIDENDO;- ;1;AFLT3
29/04/2014;0,1501;DIVIDENDO;- ;1;AFLT3
23/08/2013;0,1427;DIVIDENDO;- ;1;AFLT3
29/04/2013;0,2664;DIVIDENDO;- ;1;AFLT3
20/04/2012;0,3187;DIVIDENDO;- ;1;AFLT3
29/04/2011;0,2496;DIVIDENDO;- ;1;AFLT3
27/10/2022;3,2387;DIVIDENDO;16/11/2022 ;1;AGRO3
07/04/2022;2,0163;DIVIDENDO;29/04/2022 ;1;AGRO3
27/10/2021;2,6212;DIVIDENDO;10/11/2021 ;1;AGRO3
16/10/2020;0,7078;DIVIDENDO;12/11/2020 ;1;AGRO3
16/10/2019;0,9293;DIVIDENDO;14/11/2019 ;1;AGRO3
16/10/2018;0,7621;DIVIDENDO;06/11/2018 ;1;AGRO3
02/10/2017;0,2411;DIVIDENDO;- ;1;AGRO3
07/11/2016;0,4011;DIVIDENDO;- ;1;AGRO3
21/10/2016;0,1830;DIVIDENDO;- ;1;AGRO3
28/10/2015;1,3977;DIVIDENDO;- ;1;AGRO3
18/12/2013;0,1007;DIVIDENDO;- ;1;AGRO3
29/10/2008;0,0193;DIVIDENDO;- ;1;AGRO3
28/04/2023;0,0397;DIVIDENDO;- ;1;AGXY3
29/04/2022;0,1679;DIVIDENDO;05/07/2022 ;1;AGXY3
27/04/2020;0,0872;DIVIDENDO;- ;1;AALR3
25/04/2019;0,0845;DIVIDENDO;07/05/2019 ;1;AALR3
30/06/2023;0,8360;JRS CAP PROPRIO;16/08/2023 ;1;ABCB4
29/12/2022;0,3700;JRS CAP PROPRIO;13/01/2023 ;1;ABCB4
30/09/2022;0,3620;JRS CAP PROPRIO;13/10/2022 ;1;ABCB4
30/06/2022;0,3520;JRS CAP PROPRIO;13/07/2022 ;1;ABCB4
31/03/2022;0,3130;JRS CAP PROPRIO;13/04/2022 ;1;ABCB4
30/12/2021;0,2520;JRS CAP PROPRIO;13/01/2022 ;1;ABCB4
06/10/2021;0,2320;JRS CAP PROPRIO;20/10/2021 ;1;ABCB4
30/06/2021;0,2190;JRS CAP PROPRIO;12/07/2021 ;1;ABCB4
31/03/2021;0,2130;JRS CAP PROPRIO;12/04/2021 ;1;ABCB4
06/01/2021;0,3382;JRS CAP PROPRIO;18/02/2021 ;1;ABCB4
12/08/2020;0,1587;JRS CAP PROPRIO;23/09/2020 ;1;ABCB4
30/12/2019;0,4910;JRS CAP PROPRIO;14/01/2020 ;1;ABCB4
04/07/2019;0,5590;JRS CAP PROPRIO;17/07/2019 ;1;ABCB4
28/12/2018;0,5390;JRS CAP PROPRIO;12/02/2019 ;1;ABCB4
29/06/2018;0,5400;JRS CAP PROPRIO;10/08/2018 ;1;ABCB4
28/12/2017;0,5320;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2017;0,5540;JRS CAP PROPRIO;- ;1;ABCB4
29/12/2016;0,5390;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2016;0,5480;JRS CAP PROPRIO;- ;1;ABCB4
30/12/2015;0,4630;JUROS;- ;1;ABCB4
30/06/2015;0,4020;JUROS;- ;1;ABCB4
30/12/2014;0,3330;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2014;0,3260;JRS CAP PROPRIO;- ;1;ABCB4
30/12/2013;0,3030;JRS CAP PRÓPRIO;- ;1;ABCB4
28/06/2013;0,2966;JRS CAP PRÓPRIO;- ;1;ABCB4
02/01/2013;0,3080;JRS CAP PRÓPRIO;- ;1;ABCB4
02/07/2012;0,3300;JRS CAP PRÓPRIO;- ;1;ABCB4
29/12/2011;0,1600;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2011;0,1500;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2011;0,1500;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2011;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2010;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2010;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2010;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2010;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2009;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2008;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2008;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2008;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2008;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
20/12/2007;0,3200;JRS CAP PRÓPRIO;- ;1;ABCB4
19/12/2022;0,7623;JRS CAP PROPRIO;29/12/2022 ;1;ABEV3
17/12/2021;0,4702;JRS CAP PROPRIO;30/12/2021 ;1;ABEV3
17/12/2021;0,1334;DIVIDENDO;30/12/2021 ;1;ABEV3
13/01/2021;0,0767;DIVIDENDO;28/01/2021 ;1;ABEV3
17/12/2020;0,4137;JRS CAP PROPRIO;30/12/2020 ;1;ABEV3
19/12/2019;0,4906;JRS CAP PROPRIO;30/12/2019 ;1;ABEV3
18/12/2018;0,3200;JRS CAP PROPRIO;28/12/2018 ;1;ABEV3
15/06/2018;0,1600;DIVIDENDO;30/07/2018 ;1;ABEV3
31/01/2018;0,0700;DIVIDENDO;22/02/2018 ;1;ABEV3
18/12/2017;0,3100;JRS CAP PROPRIO;- ;1;ABEV3
23/06/2017;0,1600;DIVIDENDO;- ;1;ABEV3
23/01/2017;0,0700;DIVIDENDO;- ;1;ABEV3
21/12/2016;0,2200;JRS CAP PROPRIO;- ;1;ABEV3
31/10/2016;0,1600;DIVIDENDO;- ;1;ABEV3
11/07/2016;0,1300;DIVIDENDO;- ;1;ABEV3
29/01/2016;0,1300;JUROS;- ;1;ABEV3
21/12/2015;0,1500;JUROS;- ;1;ABEV3
08/09/2015;0,1500;DIVIDENDO;- ;1;ABEV3
01/06/2015;0,1000;Juros;- ;1;ABEV3
27/02/2015;0,0600;Juros;- ;1;ABEV3
27/02/2015;0,0300;Juros;- ;1;ABEV3
07/01/2015;0,0960;JRS CAP PROPRIO;- ;1;ABEV3
30/12/2014;0,1300;JRS CAP PROPRIO;- ;1;ABEV3
27/10/2014;0,2200;DIVIDENDO;- ;1;ABEV3
28/07/2014;0,1000;JRS CAP PROPRIO;- ;1;ABEV3
28/07/2014;0,0600;DIVIDENDO;- ;1;ABEV3
02/04/2014;0,0700;DIVIDENDO;- ;1;ABEV3
02/04/2014;0,0600;DIVIDENDO;- ;1;ABEV3
14/01/2014;0,1540;JRS CAP PRÓPRIO;- ;1;ABEV3
14/01/2014;0,1000;DIVIDENDO;- ;1;ABEV3
25/03/2022;0,0207;DIVIDENDO;13/04/2022 ;1;AERI3
09/08/2022;0,1075;DIVIDENDO;30/09/2022 ;1;AESB3
09/08/2021;0,0605;DIVIDENDO;22/09/2021 ;1;AESB3
10/05/2021;0,1704;DIVIDENDO;28/05/2021 ;1;AESB3
20/04/2023;0,3316;DIVIDENDO;31/12/2023 ;1;AFLT3
20/04/2023;0,1486;DIVIDENDO;04/05/2023 ;1;AFLT3
20/04/2023;0,1141;DIVIDENDO;04/05/2023 ;1;AFLT3
18/04/2022;0,2362;DIVIDENDO;20/12/2022 ;1;AFLT3
03/12/2021;0,1904;DIVIDENDO;21/12/2021 ;1;AFLT3
07/04/2021;0,3170;DIVIDENDO;- ;1;AFLT3
07/04/2021;0,1226;DIVIDENDO;- ;1;AFLT3
23/09/2020;0,1740;DIVIDENDO;22/10/2020 ;1;AFLT3
29/07/2020;0,2947;DIVIDENDO;- ;1;AFLT3
29/07/2020;0,2541;DIVIDENDO;- ;1;AFLT3
12/12/2019;0,1057;DIVIDENDO;23/12/2019 ;1;AFLT3
23/10/2018;0,1044;DIVIDENDO;12/11/2018 ;1;AFLT3
27/03/2018;0,0761;DIVIDENDO;09/05/2018 ;1;AFLT3
20/09/2017;0,1223;DIVIDENDO;- ;1;AFLT3
12/04/2017;0,4756;REST CAP DIN;- ;1;AFLT3
12/04/2017;0,0963;DIVIDENDO;- ;1;AFLT3
06/09/2016;0,1189;DIVIDENDO;- ;1;AFLT3
28/04/2016;0,1902;DIVIDENDO;- ;1;AFLT3
28/04/2015;0,1247;DIVIDENDO;- ;1;AFLT3
18/09/2014;0,1009;DIVIDENDO;- ;1;AFLT3
29/04/2014;0,1501;DIVIDENDO;- ;1;AFLT3
23/08/2013;0,1427;DIVIDENDO;- ;1;AFLT3
29/04/2013;0,2664;DIVIDENDO;- ;1;AFLT3
20/04/2012;0,3187;DIVIDENDO;- ;1;AFLT3
29/04/2011;0,2496;DIVIDENDO;- ;1;AFLT3
27/10/2022;3,2387;DIVIDENDO;16/11/2022 ;1;AGRO3
07/04/2022;2,0163;DIVIDENDO;29/04/2022 ;1;AGRO3
27/10/2021;2,6212;DIVIDENDO;10/11/2021 ;1;AGRO3
16/10/2020;0,7078;DIVIDENDO;12/11/2020 ;1;AGRO3
16/10/2019;0,9293;DIVIDENDO;14/11/2019 ;1;AGRO3
16/10/2018;0,7621;DIVIDENDO;06/11/2018 ;1;AGRO3
02/10/2017;0,2411;DIVIDENDO;- ;1;AGRO3
07/11/2016;0,4011;DIVIDENDO;- ;1;AGRO3
21/10/2016;0,1830;DIVIDENDO;- ;1;AGRO3
28/10/2015;1,3977;DIVIDENDO;- ;1;AGRO3
18/12/2013;0,1007;DIVIDENDO;- ;1;AGRO3
29/10/2008;0,0193;DIVIDENDO;- ;1;AGRO3
28/04/2023;0,0397;DIVIDENDO;- ;1;AGXY3
29/04/2022;0,1679;DIVIDENDO;05/07/2022 ;1;AGXY3
27/04/2020;0,0872;DIVIDENDO;- ;1;AALR3
25/04/2019;0,0845;DIVIDENDO;07/05/2019 ;1;AALR3
30/06/2023;0,8360;JRS CAP PROPRIO;16/08/2023 ;1;ABCB4
29/12/2022;0,3700;JRS CAP PROPRIO;13/01/2023 ;1;ABCB4
30/09/2022;0,3620;JRS CAP PROPRIO;13/10/2022 ;1;ABCB4
30/06/2022;0,3520;JRS CAP PROPRIO;13/07/2022 ;1;ABCB4
31/03/2022;0,3130;JRS CAP PROPRIO;13/04/2022 ;1;ABCB4
30/12/2021;0,2520;JRS CAP PROPRIO;13/01/2022 ;1;ABCB4
06/10/2021;0,2320;JRS CAP PROPRIO;20/10/2021 ;1;ABCB4
30/06/2021;0,2190;JRS CAP PROPRIO;12/07/2021 ;1;ABCB4
31/03/2021;0,2130;JRS CAP PROPRIO;12/04/2021 ;1;ABCB4
06/01/2021;0,3382;JRS CAP PROPRIO;18/02/2021 ;1;ABCB4
12/08/2020;0,1587;JRS CAP PROPRIO;23/09/2020 ;1;ABCB4
30/12/2019;0,4910;JRS CAP PROPRIO;14/01/2020 ;1;ABCB4
04/07/2019;0,5590;JRS CAP PROPRIO;17/07/2019 ;1;ABCB4
28/12/2018;0,5390;JRS CAP PROPRIO;12/02/2019 ;1;ABCB4
29/06/2018;0,5400;JRS CAP PROPRIO;10/08/2018 ;1;ABCB4
28/12/2017;0,5320;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2017;0,5540;JRS CAP PROPRIO;- ;1;ABCB4
29/12/2016;0,5390;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2016;0,5480;JRS CAP PROPRIO;- ;1;ABCB4
30/12/2015;0,4630;JUROS;- ;1;ABCB4
30/06/2015;0,4020;JUROS;- ;1;ABCB4
30/12/2014;0,3330;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2014;0,3260;JRS CAP PROPRIO;- ;1;ABCB4
30/12/2013;0,3030;JRS CAP PRÓPRIO;- ;1;ABCB4
28/06/2013;0,2966;JRS CAP PRÓPRIO;- ;1;ABCB4
02/01/2013;0,3080;JRS CAP PRÓPRIO;- ;1;ABCB4
02/07/2012;0,3300;JRS CAP PRÓPRIO;- ;1;ABCB4
29/12/2011;0,1600;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2011;0,1500;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2011;0,1500;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2011;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2010;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2010;0,1400;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2010;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2010;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2009;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2009;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/12/2008;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/09/2008;0,1300;JRS CAP PRÓPRIO;- ;1;ABCB4
30/06/2008;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
31/03/2008;0,1200;JRS CAP PRÓPRIO;- ;1;ABCB4
20/12/2007;0,3200;JRS CAP PRÓPRIO;- ;1;ABCB4
19/12/2022;0,7623;JRS CAP PROPRIO;29/12/2022 ;1;ABEV3
17/12/2021;0,4702;JRS CAP PROPRIO;30/12/2021 ;1;ABEV3
17/12/2021;0,1334;DIVIDENDO;30/12/2021 ;1;ABEV3
13/01/2021;0,0767;DIVIDENDO;28/01/2021 ;1;ABEV3
17/12/2020;0,4137;JRS CAP PROPRIO;30/12/2020 ;1;ABEV3
19/12/2019;0,4906;JRS CAP PROPRIO;30/12/2019 ;1;ABEV3
18/12/2018;0,3200;JRS CAP PROPRIO;28/12/2018 ;1;ABEV3
15/06/2018;0,1600;DIVIDENDO;30/07/2018 ;1;ABEV3
31/01/2018;0,0700;DIVIDENDO;22/02/2018 ;1;ABEV3
18/12/2017;0,3100;JRS CAP PROPRIO;- ;1;ABEV3
23/06/2017;0,1600;DIVIDENDO;- ;1;ABEV3
23/01/2017;0,0700;DIVIDENDO;- ;1;ABEV3
21/12/2016;0,2200;JRS CAP PROPRIO;- ;1;ABEV3
31/10/2016;0,1600;DIVIDENDO;- ;1;ABEV3
11/07/2016;0,1300;DIVIDENDO;- ;1;ABEV3
29/01/2016;0,1300;JUROS;- ;1;ABEV3
21/12/2015;0,1500;JUROS;- ;1;ABEV3
08/09/2015;0,1500;DIVIDENDO;- ;1;ABEV3
01/06/2015;0,1000;Juros;- ;1;ABEV3
27/02/2015;0,0600;Juros;- ;1;ABEV3
27/02/2015;0,0300;Juros;- ;1;ABEV3
07/01/2015;0,0960;JRS CAP PROPRIO;- ;1;ABEV3
30/12/2014;0,1300;JRS CAP PROPRIO;- ;1;ABEV3
27/10/2014;0,2200;DIVIDENDO;- ;1;ABEV3
28/07/2014;0,1000;JRS CAP PROPRIO;- ;1;ABEV3
28/07/2014;0,0600;DIVIDENDO;- ;1;ABEV3
02/04/2014;0,0700;DIVIDENDO;- ;1;ABEV3
02/04/2014;0,0600;DIVIDENDO;- ;1;ABEV3
14/01/2014;0,1540;JRS CAP PRÓPRIO;- ;1;ABEV3
14/01/2014;0,1000;DIVIDENDO;- ;1;ABEV3
25/03/2022;0,0207;DIVIDENDO;13/04/2022 ;1;AERI3
09/08/2022;0,1075;DIVIDENDO;30/09/2022 ;1;AESB3
09/08/2021;0,0605;DIVIDENDO;22/09/2021 ;1;AESB3
10/05/2021;0,1704;DIVIDENDO;28/05/2021 ;1;AESB3
20/04/2023;0,3316;DIVIDENDO;31/12/2023 ;1;AFLT3
20/04/2023;0,1486;DIVIDENDO;04/05/2023 ;1;AFLT3
20/04/2023;0,1141;DIVIDENDO;04/05/2023 ;1;AFLT3
18/04/2022;0,2362;DIVIDENDO;20/12/2022 ;1;AFLT3
03/12/2021;0,1904;DIVIDENDO;21/12/2021 ;1;AFLT3
07/04/2021;0,3170;DIVIDENDO;- ;1;AFLT3
07/04/2021;0,1226;DIVIDENDO;- ;1;AFLT3
23/09/2020;0,1740;DIVIDENDO;22/10/2020 ;1;AFLT3
29/07/2020;0,2947;DIVIDENDO;- ;1;AFLT3
29/07/2020;0,2541;DIVIDENDO;- ;1;AFLT3
12/12/2019;0,1057;DIVIDENDO;23/12/2019 ;1;AFLT3
23/10/2018;0,1044;DIVIDENDO;12/11/2018 ;1;AFLT3
27/03/2018;0,0761;DIVIDENDO;09/05/2018 ;1;AFLT3
20/09/2017;0,1223;DIVIDENDO;- ;1;AFLT3
12/04/2017;0,4756;REST CAP DIN;- ;1;AFLT3
12/04/2017;0,0963;DIVIDENDO;- ;1;AFLT3
06/09/2016;0,1189;DIVIDENDO;- ;1;AFLT3
28/04/2016;0,1902;DIVIDENDO;- ;1;AFLT3
28/04/2015;0,1247;DIVIDENDO;- ;1;AFLT3
18/09/2014;0,1009;DIVIDENDO;- ;1;AFLT3
29/04/2014;0,1501;DIVIDENDO;- ;1;AFLT3
23/08/2013;0,1427;DIVIDENDO;- ;1;AFLT3
29/04/2013;0,2664;DIVIDENDO;- ;1;AFLT3
20/04/2012;0,3187;DIVIDENDO;- ;1;AFLT3
29/04/2011;0,2496;DIVIDENDO;- ;1;AFLT3
27/10/2022;3,2387;DIVIDENDO;16/11/2022 ;1;AGRO3
07/04/2022;2,0163;DIVIDENDO;29/04/2022 ;1;AGRO3
27/10/2021;2,6212;DIVIDENDO;10/11/2021 ;1;AGRO3
16/10/2020;0,7078;DIVIDENDO;12/11/2020 ;1;AGRO3
16/10/2019;0,9293;DIVIDENDO;14/11/2019 ;1;AGRO3
16/10/2018;0,7621;DIVIDENDO;06/11/2018 ;1;AGRO3
02/10/2017;0,2411;DIVIDENDO;- ;1;AGRO3
07/11/2016;0,4011;DIVIDENDO;- ;1;AGRO3
21/10/2016;0,1830;DIVIDENDO;- ;1;AGRO3
28/10/2015;1,3977;DIVIDENDO;- ;1;AGRO3
18/12/2013;0,1007;DIVIDENDO;- ;1;AGRO3
29/10/2008;0,0193;DIVIDENDO;- ;1;AGRO3
28/04/2023;0,0397;DIVIDENDO;- ;1;AGXY3
29/04/2022;0,1679;DIVIDENDO;05/07/2022 ;1;AGXY3
27/04/2020;0,0872;DIVIDENDO;- ;1;AALR3
25/04/2019;0,0845;DIVIDENDO;07/05/2019 ;1;AALR3
30/06/2023;0,8360;JRS CAP PROPRIO;16/08/2023 ;1;ABCB4
29/12/2022;0,3700;JRS CAP PROPRIO;13/01/2023 ;1;ABCB4
30/09/2022;0,3620;JRS CAP PROPRIO;13/10/2022 ;1;ABCB4
30/06/2022;0,3520;JRS CAP PROPRIO;13/07/2022 ;1;ABCB4
31/03/2022;0,3130;JRS CAP PROPRIO;13/04/2022 ;1;ABCB4
30/12/2021;0,2520;JRS CAP PROPRIO;13/01/2022 ;1;ABCB4
06/10/2021;0,2320;JRS CAP PROPRIO;20/10/2021 ;1;ABCB4
30/06/2021;0,2190;JRS CAP PROPRIO;12/07/2021 ;1;ABCB4
31/03/2021;0,2130;JRS CAP PROPRIO;12/04/2021 ;1;ABCB4
06/01/2021;0,3382;JRS CAP PROPRIO;18/02/2021 ;1;ABCB4
12/08/2020;0,1587;JRS CAP PROPRIO;23/09/2020 ;1;ABCB4
30/12/2019;0,4910;JRS CAP PROPRIO;14/01/2020 ;1;ABCB4
04/07/2019;0,5590;JRS CAP PROPRIO;17/07/2019 ;1;ABCB4
28/12/2018;0,5390;JRS CAP PROPRIO;12/02/2019 ;1;ABCB4
29/06/2018;0,5400;JRS CAP PROPRIO;10/08/2018 ;1;ABCB4
28/12/2017;0,5320;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2017;0,5540;JRS CAP PROPRIO;- ;1;ABCB4
29/12/2016;0,5390;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2016;0,5480;JRS CAP PROPRIO;- ;1;ABCB4
30/12/2015;0,4630;JUROS;- ;1;ABCB4
30/06/2015;0,4020;JUROS;- ;1;ABCB4
30/12/2014;0,3330;JRS CAP PROPRIO;- ;1;ABCB4
30/06/2014;0,3260;JRS CAP PROPRIO;- ;1;ABCB4
30/12/2013;0,3030;JRS CAP PRÓPRIO;- ;1;ABCB4
28/06/2013;0,2966;JRS CAP PRÓPRIO;- ;1;ABCB4
